region1,region2,rtt,bw,value,abb1,abb2,label,level
us-central1-c,client-us-west3-a,21.005,917.0,21.006090512540894,us,us,True,1
europe-west6-a,client-europe-central2-a,21.618000000000002,929.0,21.619076426264805,europe,europe,True,1
europe-west4-a,client-europe-central2-a,21.824,949.0,21.82505374077977,europe,europe,True,1
europe-west1-b,client-europe-central2-a,22.309,955.0,22.31004712041885,europe,europe,True,1
us-west3-a,client-us-central1-c,22.488000000000003,918.0,22.48908932461874,us,us,True,1
asia-south1-c,client-asia-south2-a,22.503,911.0,22.504097694840834,asia,asia,True,1
europe-central2-a,client-europe-west1-b,22.563000000000002,954.0,22.564048218029352,europe,europe,True,1
europe-central2-a,client-europe-west4-a,22.572,930.0,22.573075268817202,europe,europe,True,1
us-east4-c,client-northamerica-northeast2-a,22.964000000000002,937.0,22.965067235859127,us,northamerica,False,1
northamerica-northeast2-a,client-us-central1-c,22.988000000000003,924.0,22.989082251082255,northamerica,us,False,1
europe-central2-a,client-europe-west6-a,23.151,959.0,23.15204275286757,europe,europe,True,1
asia-south2-a,client-asia-south1-c,23.991,952.0,23.992050420168066,asia,asia,True,1
us-east4-c,client-us-central1-c,25.898000000000003,892.0,25.899121076233186,us,us,True,1
us-west2-a,client-us-west1-b,26.087,931.0,26.08807411385607,us,us,True,1
us-east1-b,client-northamerica-northeast1-a,26.154,885.0,26.155129943502825,us,northamerica,False,1
northamerica-northeast1-a,client-us-east1-b,26.214000000000002,912.0,26.21509649122807,northamerica,us,False,1
us-west1-b,client-us-west2-a,26.693,784.0,26.694275510204083,us,us,True,1
europe-central2-a,client-europe-west2-c,27.781,827.0,27.782209189842803,europe,europe,True,1
europe-west2-c,client-europe-central2-a,28.035,863.0,28.036158748551564,europe,europe,True,1
northamerica-northeast1-a,client-us-central1-c,29.07,818.0,29.071222493887532,northamerica,us,False,1
europe-north1-a,client-europe-west4-a,30.995,648.0,30.996543209876545,europe,europe,True,1
europe-west4-a,client-europe-north1-a,31.166,747.0,31.167338688085675,europe,europe,True,1
us-west3-a,client-us-west1-b,31.381,736.0,31.382358695652176,us,us,True,1
us-west1-b,client-us-west3-a,31.561,685.0,31.562459854014598,us,us,True,1
asia-northeast1-b,client-asia-northeast3-a,31.691999999999997,722.0,31.69338504155124,asia,asia,True,1
asia-northeast3-a,client-asia-northeast1-b,32.073,740.0,32.07435135135135,asia,asia,True,1
northamerica-northeast2-a,client-us-east1-b,32.177,736.0,32.17835869565217,northamerica,us,False,1
us-west1-b,client-us-west4-a,32.179,726.0,32.180377410468324,us,us,True,1
us-east1-b,client-us-central1-c,32.548,703.0,32.54942247510669,us,us,True,1
asia-northeast3-a,client-asia-northeast2-a,32.626,748.0,32.62733689839572,asia,asia,True,1
northamerica-northeast2-a,client-northamerica-northeast1-a,32.686,929.0,32.6870764262648,northamerica,northamerica,True,1
europe-north1-a,client-europe-west3-c,32.696,729.0,32.69737174211248,europe,europe,True,1
europe-west3-c,client-europe-north1-a,32.72,720.0,32.72138888888889,europe,europe,True,1
us-east1-b,client-northamerica-northeast2-a,33.091,721.0,33.09238696255201,us,northamerica,False,1
europe-north1-a,client-europe-west1-b,33.466,694.0,33.4674409221902,europe,europe,True,1
europe-west1-b,client-europe-north1-a,33.567,694.0,33.5684409221902,europe,europe,True,1
us-west4-a,client-us-west1-b,33.806999999999995,761.0,33.808314060446776,us,us,True,1
asia-east1-b,client-asia-northeast1-b,33.817,688.0,33.81845348837209,asia,asia,True,1
asia-northeast1-b,client-asia-east1-b,33.894,718.0,33.89539275766017,asia,asia,True,1
us-east4-c,client-northamerica-northeast1-a,34.175,943.0,34.17606044538706,us,northamerica,False,1
asia-northeast2-a,client-asia-northeast3-a,34.757,673.0,34.75848588410104,asia,asia,True,1
asia-northeast2-a,client-asia-east1-b,35.584,604.0,35.585655629139076,asia,asia,True,1
europe-west6-a,client-europe-north1-a,36.042,654.0,36.04352905198777,europe,europe,True,1
asia-east1-b,client-asia-northeast2-a,36.146,609.0,36.14764203612479,asia,asia,True,1
asia-northeast3-a,client-asia-east2-a,36.257,626.0,36.25859744408945,asia,asia,True,1
asia-northeast3-a,client-asia-east1-b,36.365,648.0,36.366543209876546,asia,asia,True,1
europe-north1-a,client-europe-west6-a,36.406,654.0,36.407529051987765,europe,europe,True,1
asia-southeast1-b,client-asia-east2-a,36.525,650.0,36.52653846153846,asia,asia,True,1
asia-east2-a,client-asia-southeast1-b,36.769,640.0,36.7705625,asia,asia,True,1
asia-east2-a,client-asia-northeast3-a,36.869,653.0,36.87053139356815,asia,asia,True,1
asia-east1-b,client-asia-northeast3-a,37.295,623.0,37.2966051364366,asia,asia,True,1
us-west1-b,client-us-central1-c,39.314,608.0,39.3156447368421,us,us,True,1
us-west4-a,client-us-central1-c,40.669000000000004,575.0,40.67073913043479,us,us,True,1
europe-north1-a,client-europe-west2-c,40.779,541.0,40.78084842883549,europe,europe,True,1
europe-west2-c,client-europe-north1-a,41.941,565.0,41.94276991150443,europe,europe,True,1
us-west3-a,client-northamerica-northeast2-a,42.5,529.0,42.50189035916824,us,northamerica,False,1
us-central1-c,client-us-west4-a,43.336000000000006,538.0,43.33785873605949,us,us,True,1
asia-east1-b,client-asia-southeast1-b,43.548,572.0,43.549748251748255,asia,asia,True,1
asia-east2-a,client-asia-northeast2-a,43.663000000000004,487.0,43.66505338809035,asia,asia,True,1
northamerica-northeast2-a,client-us-west3-a,44.019,550.0,44.02081818181818,northamerica,us,False,1
us-west3-a,client-us-east4-c,45.602,514.0,45.60394552529183,us,us,True,1
asia-northeast1-b,client-asia-east2-a,45.935,516.0,45.936937984496126,asia,asia,True,1
asia-east2-a,client-asia-northeast1-b,46.203,505.0,46.204980198019804,asia,asia,True,1
us-east4-c,client-us-west3-a,46.653999999999996,530.0,46.655886792452826,us,us,True,1
asia-southeast1-b,client-asia-east1-b,46.895,462.0,46.89716450216451,asia,asia,True,1
asia-northeast2-a,client-asia-east2-a,48.641000000000005,455.0,48.64319780219781,asia,asia,True,1
southamerica-east1-b,client-southamerica-west1-b,48.994,461.0,48.996169197396966,southamerica,southamerica,True,1
southamerica-west1-b,client-southamerica-east1-b,49.071999999999996,477.0,49.074096436058696,southamerica,southamerica,True,1
northamerica-northeast1-a,client-us-west3-a,49.177,457.0,49.17918818380744,northamerica,us,False,1
asia-east2-a,client-asia-southeast2-a,49.477,477.0,49.4790964360587,asia,asia,True,1
us-west2-a,client-us-central1-c,50.224,459.0,50.22617864923747,us,us,True,1
us-west3-a,client-northamerica-northeast1-a,50.713,472.0,50.7151186440678,us,northamerica,False,1
asia-southeast2-a,client-asia-east2-a,50.721000000000004,478.0,50.72309205020921,asia,asia,True,1
us-east1-b,client-us-west3-a,51.797,445.0,51.79924719101123,us,us,True,1
us-west3-a,client-us-east1-b,52.423,440.0,52.42527272727273,us,us,True,1
northamerica-northeast2-a,client-us-west1-b,55.175,429.0,55.177331002331,northamerica,us,False,1
us-west1-b,client-northamerica-northeast2-a,55.531000000000006,428.0,55.533336448598135,us,northamerica,False,1
us-west1-b,client-us-east4-c,56.967,410.0,56.96943902439024,us,us,True,1
us-east1-b,client-us-west4-a,56.986999999999995,418.0,56.9893923444976,us,us,True,1
us-west4-a,client-us-east1-b,57.006,413.0,57.008421307506055,us,us,True,1
us-east4-c,client-us-west1-b,57.495,404.0,57.49747524752475,us,us,True,1
asia-southeast2-a,client-asia-east1-b,57.771,433.0,57.77330946882217,asia,asia,True,1
asia-east1-b,client-asia-southeast2-a,59.06,382.0,59.062617801047125,asia,asia,True,1
northamerica-northeast1-a,client-us-west1-b,60.858999999999995,382.0,60.86161780104712,northamerica,us,False,1
asia-south1-c,client-asia-southeast1-b,61.125,384.0,61.127604166666664,asia,asia,True,1
us-west4-a,client-us-east4-c,61.159,387.0,61.161583979328164,us,us,True,1
us-east4-c,client-us-west4-a,61.706,377.0,61.7086525198939,us,us,True,1
us-west4-a,client-northamerica-northeast2-a,62.053999999999995,373.0,62.05668096514745,us,northamerica,False,1
us-east1-b,client-us-west2-a,62.074,375.0,62.07666666666667,us,us,True,1
us-west2-a,client-us-east1-b,62.162,373.0,62.164680965147454,us,us,True,1
us-west1-b,client-northamerica-northeast1-a,62.177,384.0,62.179604166666664,us,northamerica,False,1
northamerica-northeast2-a,client-us-west4-a,62.25,381.0,62.25262467191601,northamerica,us,False,1
asia-southeast1-b,client-asia-south1-c,62.262,382.0,62.26461780104712,asia,asia,True,1
us-east1-b,client-us-west1-b,64.273,361.0,64.27577008310249,us,us,True,1
us-west1-b,client-us-east1-b,64.935,362.0,64.93776243093923,us,us,True,1
us-west2-a,client-us-east4-c,66.613,348.0,66.61587356321839,us,us,True,1
us-west2-a,client-northamerica-northeast2-a,67.031,345.0,67.03389855072464,us,northamerica,False,1
